tpr,fpr
0.9,0.8656273199703044
0.91,0.8656273199703044
0.91,0.8723088344469191
0.91,0.8737936154417223
0.91,0.8797327394209354
0.93,0.8797327394209354
0.93,0.8834446919079436
0.94,0.8834446919079436
0.94,0.9012620638455828
0.94,0.902746844840386
0.94,0.9057164068299925
0.95,0.9057164068299925
0.95,0.9131403118040089
0.95,0.9146250927988122
0.95,0.9190794357832219
0.96,0.9190794357832219
0.96,0.9220489977728286
0.97,0.9220489977728286
0.97,0.9227913882702301
0.98,0.9227913882702301
0.98,0.9265033407572383
0.98,0.9279881217520416
0.98,0.9339272457312546
0.99,0.9339272457312546
0.99,0.9458054936896808
1.0,0.9458054936896808
1.0,1.0
